## htsjdk.samtools.metrics.StringHeader
# CollectHsMetrics BAIT_INTERVALS=[/data4/bfennessy/project/raw_fastq/capture_targets_interval_list] TARGET_INTERVALS=[/data4/bfennessy/project/raw_fastq/primary_targets_interval_list] INPUT=HN60_N.sorted.dedup.RG.bam OUTPUT=HN60_N_hs.metrics.txt REFERENCE_SEQUENCE=/data4/bfennessy/project/raw_fastq/hg19/hg19.fa    METRIC_ACCUMULATION_LEVEL=[ALL_READS] NEAR_DISTANCE=250 MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 CLIP_OVERLAPPING_READS=true INCLUDE_INDELS=false COVERAGE_CAP=200 SAMPLE_SIZE=10000 ALLELE_FRACTION=[0.001, 0.005, 0.01, 0.02, 0.05, 0.1, 0.2, 0.3, 0.5] VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat May 25 18:21:59 BST 2019

## METRICS CLASS	picard.analysis.directed.HsMetrics
BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
capture_targets_interval_list	64190747	0.990251	11903014162	8405970438	3133152954	0.866345	0.133655	0.586096	185.431931	0.507321	0.366876	24.815564	423299845	5.399075	5.49878	5.613592	5.716319	5.843216	6.53934	63564965	3137161264	241746412	241746412	23462506404	215305996	215278567	23442137554	20910468303	8607825539	1	0.890627	0.999873	135.417766	117	4644	0.019803	0.107997	0	0.125881	0.012622	0.016913	0.369394	2.184158	0.971157	0.966536	0.948171	0.933099	0.916789	0.892941	0.858936	0.595319	0.001014	15.270078	0.964232	14			

## HISTOGRAM	java.lang.Integer
coverage_or_base_quality	high_quality_coverage_count	unfiltered_baseq_count
0	1833384	0
1	293754	0
2	213178	0
3	175130	0
4	158392	0
5	143614	1588596
6	129573	2413962
7	121014	12303025
8	116296	11968475
9	110177	7105131
10	107510	7756975
11	103434	3294560
12	98932	2776118
13	96223	5252443
14	93864	3009789
15	92236	9600018
16	90209	9219101
17	90811	11297714
18	91505	26359226
19	93294	15914227
20	92869	23281855
21	93467	10660380
22	94896	18811631
23	98170	32753606
24	101733	45053320
25	103928	57078275
26	106431	74805322
27	110236	80072656
28	114498	55952293
29	120521	116365132
30	125464	173215621
31	130844	263730867
32	137160	206262914
33	143408	320604507
34	147716	603822096
35	154405	927152152
36	159853	435149909
37	166509	670711419
38	172671	544322130
39	177884	757026450
40	184549	922733947
41	192475	1183467076
42	198870	0
43	205749	0
44	213065	0
45	219930	0
46	227189	0
47	233389	0
48	239895	0
49	246394	0
50	253536	0
51	260924	0
52	267285	0
53	274404	0
54	282033	0
55	286509	0
56	291561	0
57	297930	0
58	303574	0
59	308777	0
60	311725	0
61	315551	0
62	319698	0
63	324429	0
64	327894	0
65	331138	0
66	333068	0
67	336548	0
68	338722	0
69	342175	0
70	343971	0
71	345460	0
72	347501	0
73	348779	0
74	350064	0
75	352466	0
76	353187	0
77	354058	0
78	355170	0
79	356696	0
80	357313	0
81	357788	0
82	357615	0
83	358635	0
84	359258	0
85	358654	0
86	358305	0
87	361105	0
88	359929	0
89	359334	0
90	360366	0
91	358930	0
92	358141	0
93	357021	0
94	356015	0
95	355644	0
96	352532	0
97	351615	0
98	351888	0
99	351906	0
100	348162	0
101	347076	0
102	346920	0
103	345500	0
104	346054	0
105	344588	0
106	343440	0
107	342685	0
108	340009	0
109	337429	0
110	336915	0
111	335383	0
112	333426	0
113	332016	0
114	329671	0
115	328403	0
116	325846	0
117	323227	0
118	322261	0
119	321374	0
120	319536	0
121	317921	0
122	316238	0
123	314802	0
124	312843	0
125	311910	0
126	310739	0
127	307887	0
128	306374	0
129	304207	0
130	301920	0
131	300513	0
132	297819	0
133	297055	0
134	294220	0
135	292417	0
136	290240	0
137	289031	0
138	286516	0
139	284271	0
140	280929	0
141	278888	0
142	277709	0
143	275818	0
144	274575	0
145	272353	0
146	269155	0
147	267155	0
148	265241	0
149	263673	0
150	260469	0
151	258974	0
152	255755	0
153	253835	0
154	252077	0
155	249015	0
156	247343	0
157	245039	0
158	241843	0
159	240989	0
160	238013	0
161	236172	0
162	234208	0
163	231361	0
164	229344	0
165	227662	0
166	225788	0
167	223071	0
168	221014	0
169	219583	0
170	218093	0
171	214681	0
172	211946	0
173	211301	0
174	209087	0
175	206666	0
176	204219	0
177	202072	0
178	198723	0
179	197693	0
180	195495	0
181	193059	0
182	191185	0
183	189481	0
184	187887	0
185	185910	0
186	183155	0
187	181482	0
188	179867	0
189	176682	0
190	176010	0
191	173212	0
192	171407	0
193	169264	0
194	167963	0
195	166046	0
196	164248	0
197	161740	0
198	160322	0
199	158930	0
200	11929719	0

