## htsjdk.samtools.metrics.StringHeader
# CollectHsMetrics BAIT_INTERVALS=[/data4/bfennessy/project/raw_fastq/capture_targets_interval_list] TARGET_INTERVALS=[/data4/bfennessy/project/raw_fastq/primary_targets_interval_list] INPUT=HN60_R.sorted.dedup.RG.bam OUTPUT=HN60_R_hs.metrics.txt REFERENCE_SEQUENCE=/data4/bfennessy/project/raw_fastq/hg19/hg19.fa    METRIC_ACCUMULATION_LEVEL=[ALL_READS] NEAR_DISTANCE=250 MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 CLIP_OVERLAPPING_READS=true INCLUDE_INDELS=false COVERAGE_CAP=200 SAMPLE_SIZE=10000 ALLELE_FRACTION=[0.001, 0.005, 0.01, 0.02, 0.05, 0.1, 0.2, 0.3, 0.5] VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat May 25 18:24:12 BST 2019

## METRICS CLASS	picard.analysis.directed.HsMetrics
BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
capture_targets_interval_list	64190747	0.990251	10893386626	7307561107	2898129346	0.862642	0.137358	0.598507	169.703378	0.515708	0.374785	25.232709	380636354	5.825339	5.955932	6.091968	6.233444	6.403216	7.38267	63564965	3137161264	216782244	216782244	21123148992	193354756	193327976	21099077079	18844830394	7916631801	1	0.891931	0.999861	124.54395	103	6203	0.020707	0.106841	0	0.118974	0.011836	0.020422	0.366716	2.395076	0.969554	0.964552	0.944385	0.925942	0.901057	0.863849	0.814985	0.519234	0.001218	14.464893	0.962052	14			

## HISTOGRAM	java.lang.Integer
coverage_or_base_quality	high_quality_coverage_count	unfiltered_baseq_count
0	1935319	0
1	317938	0
2	226772	0
3	189966	0
4	173403	0
5	159762	1400850
6	146399	2060715
7	134446	10285355
8	128633	9936497
9	122557	5790768
10	118068	6472957
11	116038	2806289
12	114576	2408851
13	113708	4538895
14	113048	2579670
15	114258	8333192
16	116250	8000420
17	118862	9994910
18	121751	22533851
19	125762	13512280
20	130116	20501029
21	134547	9235104
22	139629	16271177
23	146210	28838195
24	151619	39171555
25	160142	50793265
26	167600	65345766
27	175525	70440581
28	183261	48767840
29	193155	100944050
30	200496	154478709
31	209040	232711812
32	217310	182100360
33	224154	287979384
34	232412	543881559
35	240892	876941351
36	248301	395202203
37	256496	618068435
38	264713	475594522
39	271317	693737911
40	278863	834684787
41	285941	1146020378
42	292364	0
43	301141	0
44	308228	0
45	314173	0
46	322844	0
47	328217	0
48	334875	0
49	339404	0
50	344800	0
51	349023	0
52	353664	0
53	357384	0
54	360025	0
55	362717	0
56	367090	0
57	371543	0
58	374946	0
59	375927	0
60	377915	0
61	379200	0
62	382372	0
63	382090	0
64	385409	0
65	387744	0
66	387292	0
67	388301	0
68	389648	0
69	389383	0
70	391045	0
71	390563	0
72	389785	0
73	390143	0
74	390320	0
75	390329	0
76	391347	0
77	390825	0
78	389185	0
79	388828	0
80	386088	0
81	384243	0
82	382012	0
83	380357	0
84	379757	0
85	379481	0
86	377684	0
87	375591	0
88	374457	0
89	373589	0
90	371617	0
91	370040	0
92	367525	0
93	366979	0
94	364042	0
95	362621	0
96	360597	0
97	359916	0
98	357846	0
99	356084	0
100	353498	0
101	351546	0
102	349368	0
103	346693	0
104	344236	0
105	341752	0
106	340199	0
107	337052	0
108	334685	0
109	333900	0
110	330662	0
111	330220	0
112	325952	0
113	322680	0
114	320837	0
115	317981	0
116	314925	0
117	311135	0
118	307845	0
119	306867	0
120	304302	0
121	301473	0
122	299621	0
123	297096	0
124	294173	0
125	290967	0
126	288488	0
127	286241	0
128	284106	0
129	280971	0
130	278699	0
131	274132	0
132	272265	0
133	269245	0
134	267603	0
135	264930	0
136	262300	0
137	258734	0
138	256012	0
139	254054	0
140	250720	0
141	248103	0
142	244740	0
143	243069	0
144	240636	0
145	237277	0
146	235683	0
147	232157	0
148	230509	0
149	228097	0
150	225337	0
151	223355	0
152	220698	0
153	217520	0
154	215905	0
155	212561	0
156	210810	0
157	208742	0
158	206605	0
159	205282	0
160	202096	0
161	199796	0
162	197645	0
163	195171	0
164	193524	0
165	190872	0
166	188996	0
167	186096	0
168	183153	0
169	180790	0
170	179091	0
171	177463	0
172	174590	0
173	172212	0
174	170836	0
175	168629	0
176	167110	0
177	165208	0
178	162918	0
179	160568	0
180	158161	0
181	157092	0
182	154397	0
183	152534	0
184	151043	0
185	148855	0
186	146684	0
187	144879	0
188	143192	0
189	141320	0
190	139340	0
191	137353	0
192	135778	0
193	133752	0
194	132492	0
195	130543	0
196	129231	0
197	127197	0
198	125862	0
199	123808	0
200	9829567	0

