## htsjdk.samtools.metrics.StringHeader
# CollectHsMetrics BAIT_INTERVALS=[/data4/bfennessy/project/raw_fastq/capture_targets_interval_list] TARGET_INTERVALS=[/data4/bfennessy/project/raw_fastq/primary_targets_interval_list] INPUT=HN60_T.sorted.dedup.RG.bam OUTPUT=HN60_T_hs.metrics.txt REFERENCE_SEQUENCE=/data4/bfennessy/project/raw_fastq/hg19/hg19.fa    METRIC_ACCUMULATION_LEVEL=[ALL_READS] NEAR_DISTANCE=250 MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 CLIP_OVERLAPPING_READS=true INCLUDE_INDELS=false COVERAGE_CAP=200 SAMPLE_SIZE=10000 ALLELE_FRACTION=[0.001, 0.005, 0.01, 0.02, 0.05, 0.1, 0.2, 0.3, 0.5] VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat May 25 18:38:39 BST 2019

## METRICS CLASS	picard.analysis.directed.HsMetrics
BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
capture_targets_interval_list	64190747	0.990251	12847030035	8389362585	2962727303	0.877569	0.122431	0.604953	200.138348	0.530416	0.372141	25.945831	340712501	5.506535	5.637758	5.781478	5.937696	6.098913	7.148697	63564965	3137161264	249117390	249117390	24220662959	214479563	214453112	24199119923	20879488916	9013503500	1	0.860958	0.999877	141.799866	116	8225	0.020191	0.13718	0	0.11609	0.011556	0.018514	0.344188	2.324588	0.970428	0.965765	0.947803	0.932635	0.914881	0.889262	0.853663	0.589393	0.001184	11.935781	0.963586	14			

## HISTOGRAM	java.lang.Integer
coverage_or_base_quality	high_quality_coverage_count	unfiltered_baseq_count
0	1879735	0
1	296425	0
2	208218	0
3	172879	0
4	151313	0
5	138892	1627615
6	128346	2296403
7	118827	11504902
8	113925	10732961
9	109352	6189185
10	104867	7325166
11	101974	3123520
12	99537	2744420
13	95737	4815533
14	93559	2815181
15	92550	9427164
16	93052	8684821
17	92640	10991781
18	94650	24656422
19	95598	14703925
20	97989	22941297
21	100283	10056032
22	102679	17478847
23	106076	31926844
24	110405	43056948
25	113580	54477213
26	117416	70162479
27	122048	77288346
28	126188	52606525
29	131836	111234870
30	137042	167383180
31	142101	254827211
32	147358	199441037
33	153428	321458616
34	159255	599456216
35	165399	965856849
36	171387	426096331
37	177777	671068224
38	184579	524436437
39	190130	755972626
40	196244	911461641
41	203342	1223844410
42	210615	0
43	216667	0
44	223702	0
45	229674	0
46	236948	0
47	242410	0
48	249030	0
49	254225	0
50	259581	0
51	264575	0
52	270730	0
53	274807	0
54	280142	0
55	285458	0
56	290631	0
57	295534	0
58	301881	0
59	306122	0
60	310479	0
61	313594	0
62	317748	0
63	321454	0
64	325465	0
65	328682	0
66	331262	0
67	335656	0
68	337467	0
69	341200	0
70	342253	0
71	344705	0
72	347550	0
73	349062	0
74	351075	0
75	350834	0
76	353158	0
77	353318	0
78	356289	0
79	357540	0
80	357722	0
81	359801	0
82	359849	0
83	361398	0
84	360890	0
85	362988	0
86	362478	0
87	361988	0
88	361212	0
89	361765	0
90	361847	0
91	361526	0
92	360772	0
93	360871	0
94	358735	0
95	358150	0
96	357624	0
97	356936	0
98	357107	0
99	356431	0
100	353346	0
101	352168	0
102	349668	0
103	348371	0
104	347469	0
105	345282	0
106	343812	0
107	341623	0
108	339142	0
109	337761	0
110	334789	0
111	334491	0
112	333250	0
113	329500	0
114	328292	0
115	325427	0
116	323918	0
117	320827	0
118	318710	0
119	316384	0
120	314026	0
121	311304	0
122	309549	0
123	307320	0
124	304400	0
125	301866	0
126	299498	0
127	296139	0
128	295230	0
129	292217	0
130	289287	0
131	285970	0
132	283957	0
133	281126	0
134	278320	0
135	276144	0
136	275423	0
137	272082	0
138	270468	0
139	267913	0
140	265561	0
141	264777	0
142	262941	0
143	259037	0
144	256725	0
145	252599	0
146	251484	0
147	248800	0
148	246817	0
149	243710	0
150	241952	0
151	238910	0
152	235663	0
153	233704	0
154	232359	0
155	229583	0
156	227076	0
157	225063	0
158	221801	0
159	220397	0
160	217357	0
161	216069	0
162	212453	0
163	210133	0
164	209438	0
165	206442	0
166	204904	0
167	202268	0
168	200210	0
169	197389	0
170	194998	0
171	193632	0
172	190601	0
173	189186	0
174	187088	0
175	184746	0
176	183077	0
177	181383	0
178	179075	0
179	177307	0
180	174794	0
181	174123	0
182	171512	0
183	169744	0
184	168009	0
185	166100	0
186	164088	0
187	161273	0
188	159432	0
189	157527	0
190	155485	0
191	154218	0
192	152534	0
193	150841	0
194	149445	0
195	147500	0
196	145938	0
197	145020	0
198	142528	0
199	141086	0
200	12980353	0

